id,Action
1,0.960504592
2,0.989379942
3,1
4,0.97440809
5,1
6,1
7,0.963556171
8,1
9,0.808158875
10,0.974974453
11,0.947606087
12,1
13,0.947063029
14,0.915629983
15,0.964249373
16,0.978233337
17,0.948630631
18,0.94168245799999994
19,1
20,1
21,1
22,1
23,0.981682658
24,0.985509753
25,0.962330401
26,0.916069508
27,1
28,0.906991363
29,1
30,0.806588411
31,0.985101044
32,1
33,0.980777323
34,1
35,1
36,1
37,0.98663193
38,1
39,0.980355978
40,0.938668668
41,0.930455387
42,0.984724164
43,1
44,0.978843331
45,0.977553129
46,0.984958291
47,1
48,1
49,1
50,1
51,0.958848715
52,1
53,1
54,1
55,0.975695252
56,0.984946966
57,0.973597646
58,1
59,0.989524543
60,0.980861843
61,1
62,1
63,0.955274165
64,1
65,1
66,0.982756734
67,0.983950615
68,1
69,0.973338723
70,0.692435265
71,0.978631854
72,0.95857209
73,1
74,1
75,1
76,1
77,1
78,0.8398785
79,0.783290327
80,1
81,1
82,0.974783421
83,1
84,0.984203219
85,0.983175397
86,0.931935191
87,0.984119713
88,0.982942462
89,0.988892973
90,0.984858513
91,0.972390652
92,0.887832761
93,1
94,0.979207814
95,0.983296633
96,0.962039232
97,0.337675065
98,0.981683731
99,0.988863707
100,1
101,0.953856707
102,0.462634802
103,1
104,0.972853899
105,0.916493297
106,1
107,0.988607228
108,1
109,1
110,0.977057934
111,0.670111358
112,1
113,0.94197005
114,0.984994113
115,0.959409475
116,1
117,1
118,1
119,1
120,1
121,1
122,0.989623249
123,0.976421058
124,0.972242773
125,1
126,0.955870986
127,0.878681421
128,0.976023734
129,0.964595199
130,0.974544287
131,0.987543464
132,1
133,1
134,0.955803335
135,1
136,0.98381722
137,1
138,0.982681096
139,0.802862704
140,1
141,1
142,1
143,1
144,0.989567816
145,1
146,0.819356203
147,0.885633707
148,0.902090609
149,1
150,1
151,0.978750706
152,0.983946025
153,0.986346304
154,0.94119972
155,0.965721309
156,0.92843008
157,0.966507554
158,1
159,0.930300832
160,0.974520803
161,0.866649568
162,0.989477336
163,0.982408583
164,0.956343055
165,0.987099588
166,1
167,0.946626008
168,0.956377745
169,1
170,1
171,0.971013844
172,0.987101793
173,0.986113489
174,0.987733007
175,0.986498117
176,0.982205451
177,0.880093932
178,1
179,1
180,0.932694018
181,0.492082536
182,0.98755151
183,0.968807221
184,0.914115667
185,0.983978331
186,0.964554191
187,1
188,0.966443181
189,0.532110989
190,0.977988124
191,0.988999784
192,0.971134663
193,1
194,1
195,0.969452977
196,1
197,0.98810941
198,0.965362132
199,0.988213003
200,0.60969317
201,1
202,0.966073811
203,0.960571468
204,0.928785324
205,1
206,1
207,0.986912847
208,0.960656583
209,0.617831945
210,0.705415666
211,0.976544142
212,1
213,1
214,0.968484819
215,1
216,0.958116412
217,0.989323437
218,1
219,0.987115145
220,0.962424099
221,0.69112455800000006
222,1
223,1
224,0.943826914
225,1
226,0.774901748
227,0.890542805
228,1
229,1
230,1
231,0.986217797
232,0.709528029
233,0.959299505
234,0.576325417
235,0.98987996599999994
236,0.940392196
237,0.978274643
238,0.973406971
239,0.883149505
240,1
241,0.986249924
242,0.74446106
243,0.249888465
244,0.987086415
245,1
246,1
247,0.983268857
248,0.983579457
249,1
250,1
251,1
252,0.835618377
253,1
254,1
255,1
256,1
257,0.981823742
258,0.966545761
259,0.968985677
260,1
261,0.97593528
262,0.95204097
263,1
264,1
265,1
266,0.951553881
267,1
268,0.983879983
269,0.98952347
270,1
271,0.978664517
272,0.959168196
273,0.988517284
274,0.490001023
275,1
276,0.798408806
277,1
278,1
279,0.922859073
280,0.975609422
281,1
282,1
283,0.957321167
284,0.980410516
285,1
286,0.950318217
287,1
288,1
289,1
290,1
291,0.860776842
292,0.931049109
293,1
294,0.94486779
295,1
296,0.460524768
297,0.657346487
298,0.962879956
299,0.835003078
300,0.98551929
301,0.815608442
302,1
303,0.500124872
304,0.835433424
305,0.963095069
306,1
307,1
308,1
309,0.985430002
310,0.98313117
311,1
312,0.966485858
313,1
314,0.977545142
315,1
316,1
317,0.989222646
318,1
319,0.987038255
320,1
321,0.97508198
322,0.340791017
323,1
324,1
325,1
326,0.87680763
327,1
328,1
329,0.976819336
330,0.984234989
331,1
332,0.983585
333,0.984795928
334,0.966113031
335,1
336,0.977592528
337,1
338,1
339,0.980087936
340,0.970476627
341,0.976269007
342,1
343,0.905925274
344,1
345,1
346,0.955751479
347,0.982758701
348,1
349,0.98892957
350,0.929270864
351,0.985090494
352,1
353,1
354,0.623755872
355,0.988549054
356,1
357,0.916670263
358,1
359,0.983878732
360,0.541809082
361,0.978174031
362,1
363,0.977958143
364,0.871806622
365,1
366,1
367,0.989223719
368,0.986664295
369,0.965526462
370,1
371,1
372,0.974537373
373,0.889623702
374,0.372228295
375,0.970919788
376,1
377,0.47100687
378,0.969734848
379,1
380,0.817293584
381,0.840077877
382,1
383,1
384,0.970832884
385,0.964878798
386,0.988450885
387,0.945010126
388,0.910658002
389,1
390,1
391,0.97853297
392,0.98426497
393,0.972482741
394,0.983648181
395,0.929799259
396,1
397,0.985238612
398,1
399,1
400,1
401,1
402,1
403,0.968150735
404,1
405,1
406,0.933430553
407,0.937314034
408,0.986273468
409,1
410,1
411,1
412,0.876557708
413,0.912272275
414,0.98409307
415,0.987478137
416,0.970523
417,0.988262355
418,0.981074393
419,1
420,0.988421321
421,1
422,0.983631015
423,0.973963678
424,0.892977297
425,1
426,0.987240374
427,1
428,0.989201069
429,0.962249279
430,1
431,1
432,0.965145886
433,0.933487833
434,0.974262416
435,1
436,1
437,0.968122363
438,0.22560668
439,0.987185657
440,0.37690559
441,1
442,1
443,1
444,1
445,0.914801002
446,1
447,0.987950981
448,1
449,1
450,0.957545638
451,0.870823979
452,0.988477349
453,1
454,0.902765691
455,0.944338262
456,1
457,1
458,0.985461175
459,1
460,0.618689537
461,0.828342021
462,1
463,0.982339323
464,0.971559823
465,0.978569508
466,1
467,0.59065479
